TSNE1,TSNE2,label
-18.123613,20.148764,control
-9.938397,14.083804,control
-13.85489,13.493545,control
-17.434427,19.321095,control
-9.881971,6.3305035,control
-18.279371,22.039412,control
-18.113962,24.578491,control
-15.082852,15.817072,control
-18.014004,23.443151,control
-17.593826,20.999521,control
-16.764338,21.473532,control
-12.629462,9.948974,control
-16.367702,18.282618,control
-18.78578,23.401756,control
-11.234734,12.035367,control
-17.24583,22.420444,control
-17.364317,19.378775,control
-19.213764,24.30039,control
-10.856301,14.4472685,control
-8.208884,7.8503957,control
-12.990392,15.847275,control
-16.327976,20.39631,control
-14.199665,14.472759,control
-10.634974,9.610595,control
-17.442606,19.839136,control
-10.406542,9.409006,control
-10.242334,14.225438,control
-17.513002,19.583765,control
-18.251097,23.173454,control
-18.930199,20.908356,control
-13.465959,13.902334,control
-17.340939,20.76923,control
-11.747859,15.61228,control
-17.744164,23.85081,control
-11.842215,16.012192,control
-18.010305,20.88749,control
-12.053925,11.485001,control
-15.708518,18.526134,control
-13.861643,14.832773,control
-12.103141,24.818058,control
-10.758462,8.957762,control
-16.988676,20.788517,control
-17.688715,21.310745,control
-12.58532,12.886483,control
-11.106937,9.214697,control
-18.491941,22.944525,control
-16.23584,19.751957,control
-16.912144,20.325968,control
16.073187,5.5584035,control
-1.6997719,6.8053937,control
1.167948,6.1042085,control
12.93658,12.494599,control
11.886285,17.71314,control
-7.8670673,17.857622,control
-14.999697,21.736492,control
-8.799153,23.524708,control
-1.8716177,21.021702,control
15.949013,3.2336023,control
5.6529284,14.813369,control
-7.1723437,13.863213,control
-10.845191,8.891974,control
0.07132908,23.793331,control
-10.6905365,27.189999,control
19.908693,16.74781,control
-2.325168,25.956213,control
0.6967519,18.272573,control
-2.1863291,22.79847,control
8.902313,19.952677,control
8.520163,20.396368,control
-3.7880995,21.65558,control
-6.499193,20.285164,control
-7.1862864,14.7816105,control
14.529333,10.130129,control
10.582822,19.335514,control
7.779299,24.324036,control
15.930965,22.956146,control
-3.6852996,7.7673345,control
2.268789,17.195854,control
-8.392733,22.272299,control
7.6214123,21.055422,control
5.329244,23.472162,control
0.6282985,30.170897,control
8.338219,22.289593,control
18.710037,13.985732,control
21.310167,7.266128,control
13.758494,20.210781,control
-4.7204885,21.729452,control
-5.9550858,30.378832,control
9.587043,11.632088,control
-3.105817,29.084524,control
8.525332,26.954048,control
-11.08689,23.873198,control
2.828552,16.324282,control
16.307652,23.198704,control
23.828314,10.999723,control
9.40187,28.960619,control
9.483892,20.652061,control
21.97259,12.585901,control
-6.599982,19.568163,control
1.6870631,12.147334,control
3.6471095,31.038624,control
10.018417,27.035494,control
10.681488,20.886627,control
11.7669,27.185951,control
4.473099,22.174034,control
-8.168336,24.038717,control
-5.266095,22.20869,control
0.19490695,22.496044,control
0.18982749,23.514174,control
23.145823,8.5950775,control
25.639235,12.100064,control
4.904594,24.951797,control
12.100666,23.761747,control
14.540955,17.538101,control
8.232023,10.156835,control
-4.1487017,29.343163,control
-1.316934,17.54177,control
-14.070068,7.1693587,control
-9.641764,11.834798,control
-8.757405,4.730178,control
-1.2809384,4.695051,control
23.264536,10.651475,control
11.47231,17.48088,control
1.0242622,23.088995,control
-11.4019165,18.036983,control
7.279786,7.414453,control
-7.4756317,30.61399,control
-9.327789,3.7221074,control
-8.791696,4.901698,control
-14.454477,17.265593,control
-13.591669,25.71642,control
-2.4947922,21.248478,control
7.9338684,7.0573134,control
6.145831,14.996545,control
-9.142486,3.9132924,control
-12.047641,15.495356,control
-0.97630733,24.733898,control
22.407013,9.411187,control
9.091123,24.215506,control
-2.8890057,30.13424,control
-7.208144,12.149781,control
-0.9943571,25.212269,control
3.1924486,14.119398,control
10.123347,22.166138,control
27.269014,17.697145,control
-4.3872414,21.703049,control
-5.6727867,25.990368,control
14.758027,16.827158,control
11.579483,28.156624,control
4.3009925,12.787817,control
-15.418071,22.961124,control
1.7384012,8.725484,control
4.458753,14.464065,control
-9.792643,14.504795,control
-11.260115,19.6143,control
5.7173877,16.607327,control
16.037628,18.615717,control
10.964021,18.694427,control
-8.940781,9.944354,control
4.7591405,8.766011,control
-1.2485127,17.747755,control
5.2129474,24.910606,control
-18.063929,13.35064,control
-8.239446,30.457169,control
9.183912,10.659171,control
9.413736,23.833057,control
10.257012,21.072914,control
4.2208033,30.019821,control
-0.2894654,15.009352,control
-1.6783212,29.241423,control
2.4823172,29.604498,control
-9.677576,22.411732,control
-10.245963,14.828449,control
8.653542,18.759686,control
8.218211,19.130005,control
11.886571,28.525661,control
-4.596789,22.03943,control
7.7747498,27.460037,control
2.9851327,23.331099,control
14.764924,24.693052,control
5.016577,29.127117,control
26.940351,14.34804,control
-3.5490868,25.213247,control
5.716318,20.290737,control
-13.441057,22.339684,control
4.2728996,23.631216,control
7.6910367,15.687497,control
16.733099,18.5117,control
13.693091,9.52604,control
-10.359987,11.536227,control
-4.5652475,22.67737,control
3.2283792,13.558835,control
9.678038,11.01651,control
14.460766,16.408587,control
10.124284,10.264862,control
10.0289755,24.669031,control
-10.699812,22.385899,control
-9.401622,19.896242,control
-12.199389,21.92428,control
7.611879,27.92716,control
-16.276901,21.65261,control
7.5769405,24.271727,control
13.335451,9.089589,control
7.476034,23.687517,control
-1.2472613,13.120525,control
