PC1,PC2,label
-2.2735579393967598,-0.9713769886479279,control
-2.0542472823363482,-0.6822105784792468,control
-2.843938487703452,-1.6402597222706499,control
-2.6965467541726844,-0.9606634272928577,control
-2.519771701834383,-0.7323434520225267,control
-2.9971273073332902,-2.027468762905399,control
-2.426592891833711,-0.865495610239495,control
-2.9927442267189996,-1.0825854809481832,control
-1.761809028009457,-1.0144106173615575,control
-2.4000469258495505,-1.2618644198704496,control
-2.325937844413353,-0.5516825937727073,control
-2.4961287045024103,-0.4281078451612975,control
-2.8050258576650027,-0.6563936682864258,control
-2.727908906966537,-1.9668558775341507,control
-2.9279755705235204,-1.778268814875007,control
-2.0623207796851903,-0.7354230617602382,control
-2.19494210646016,-0.6945178701325012,control
-2.4249397932308074,-0.4911258655491425,control
-2.6928097471235404,-1.2315613934722174,control
-2.583693780649076,-1.394920462026484,control
-2.3618164593330624,-0.9286503835468787,control
-2.2699593197217953,-0.8394114776652405,control
-3.6088369113839107,-2.1225979584706267,control
-3.1858757573853747,-1.751941262940793,control
-2.6226323650821914,-1.0255745628072828,control
-2.294234094562444,-0.7787493510115338,control
-2.5370416510131637,-0.9289128587051232,control
-2.7097415247548198,-1.3347365787755265,control
-2.1930471830951728,-0.5821878694207094,control
-2.6016534089310057,-0.9238865192178991,control
-2.235338995668155,-0.6328068379417728,control
-2.270121297492151,-1.5084792102041091,control
-2.7737191085178243,-1.7080084109619562,control
-2.1471192776367483,-0.9914929515017941,control
-2.755053978107775,-1.3662684869480795,control
-3.1844870466848714,-1.6657642061899522,control
-2.184573102637682,-0.7550488652984958,control
-2.127039530373994,-0.8596557180115363,control
-2.4452755172253333,-1.637998644238285,control
-2.2656943310278024,-0.8874370963071424,control
-2.879163468657357,-1.030631831027967,control
-2.5941110181882943,-1.3818746223922425,control
-2.514451012165008,-0.9822095105545112,control
-2.423917855110692,-1.0531309868634644,control
-2.3028590775077626,-0.8552161888163309,control
-2.3207442766917086,-0.5942021986560658,control
-2.6597800322983898,-1.340997944338083,control
-2.554654892872888,-1.247045063116308,control
-2.2833108723686406,-0.7629216213277352,control
-2.3976105148390463,-0.7395734836612393,control
-2.6441888224744625,-1.8683881623166783,control
-2.402076849254699,-0.7900271854906424,control
-2.43163661059897,-1.0904479462530132,control
-2.9491530859873403,-1.2820655992378107,control
-2.99195773741198,-1.054123019247702,control
-2.3311780250063987,-0.9597112933861207,control
-2.2935313636305765,-0.7230490308042149,control
-2.6219326351656154,-1.340406913632854,control
-2.470800199492343,-0.7668166013403861,control
-2.7607736866107513,-1.4871854328722738,control
-2.281094229739206,-1.1381848168200053,control
-2.5939789016482195,-1.2368800462090304,control
-2.7578419472918188,-1.8639593261404594,control
-2.721520844163615,-1.4542984646455572,control
-3.271274128366111,-1.8465040652906006,control
-2.241042330746543,-0.9762482662563583,control
-2.2320898951170025,-0.9215992170568,control
-2.3840502639594616,-0.7579535187273114,control
-2.4415077449599383,-0.835351012375609,control
-2.584786769894457,-1.6516207181204798,control
-2.7083803171400054,-1.9768145759239808,control
-2.6762437030243227,-1.563046360677995,control
-2.6951347840998205,-1.8415176913250229,control
-3.153681595406063,-1.1728526653468354,control
-2.078226395473293,-0.8309066290280356,control
-2.2608623142018183,-0.7687891231547442,control
-2.3955114318152,-0.7000380646138816,control
-3.1949910698169965,-1.1178377779221007,control
-2.2242990049108218,-1.1235667895146075,control
-2.848843127055752,-1.91275818985367,control
-2.7770947240945216,-1.9390159043028632,control
-2.3489803575260684,-0.08606346777893037,control
-3.01265045909965,-1.545312532411027,control
-2.910789936523865,-0.9584536916331834,control
-2.5557283682741514,-1.3394412849243393,control
-2.1423188619100695,-0.7139231885393318,control
-3.492565543909223,-2.393104263037792,control
-1.8580409715477155,-1.1271451938418255,control
-2.8389011507306896,-1.8069772970527893,control
-2.6490930086176214,-1.5973972492625612,control
-2.4608895424116244,-0.6530493093604416,control
-2.1641666401447703,-0.7706469888660692,control
-2.719210185689786,-1.0050509491729287,control
-2.333059765310165,-0.8659392233466751,control
-2.6685021116398464,-1.8270478250474802,control
-2.9245837236387535,-2.532310882480528,control
-2.8877729902144944,-1.7143194416037604,control
-2.0305126178018567,-1.1609760971096892,control
-2.066734063195189,-0.8890628143659206,control
-2.401923175033523,-0.8399272405873626,control
-2.6784551845643456,-0.2635423681757477,control
-2.5606053128343897,-1.4619414568867388,control
-2.5705397569738846,-1.1069453436485186,control
-2.465279753833782,-1.0458560287548864,control
-2.444913974217961,-1.3044605012930897,control
-2.184614270963753,-0.9369159630123322,control
-2.844486763010016,-1.5675486208429106,control
-2.451568660621773,-1.227869113479164,control
-2.6425916560480402,-0.9029373599148537,control
-2.8300955657006206,-0.9910172411812703,control
-3.1888175360246103,-2.9501605468295327,control
-2.1879383050153525,-1.154419751129091,control
-1.9442702438820458,-1.3108672627990725,control
-2.5174783654815682,-1.2065638621901296,control
-2.2307580718025246,-1.2710812304189243,control
-3.0498167073842843,-1.2478167356003749,control
-2.386942825478348,-1.0277489265517068,control
-3.1426310686010166,-2.6694667644650623,control
-2.3479953035099337,-0.6054033638518154,control
-2.5587728805644447,-0.888666800528594,control
-2.813772689788331,-1.457137151971612,control
-3.146354163594022,-2.1898819479523364,control
-2.320999319674534,-1.2580934027264379,control
-2.377252563641073,-1.0528587047444349,control
-2.20676601525073,-1.011494856806576,control
-2.4912626437013934,-0.8228399857730044,control
-2.455133220327161,-0.45635416174010945,control
-2.63378080291877,-0.7593386195465904,control
-2.2044596538328594,-1.0988025530821193,control
-2.439770664369425,-1.487501739881262,control
-2.619024259455669,-0.9808476752272864,control
-2.544063316888077,-0.9808808360337429,control
-2.8979986955244597,-1.6323183320112746,control
-2.3849649747690216,-1.3283300525663009,control
-3.0728131471177536,-1.9164590112112578,control
-2.7911893910466294,-1.4998280586947774,control
-2.8545225779527934,-2.41930734659817,control
-2.1018836423275538,-0.9496110380635971,control
-2.0932273921645694,-0.9946013224593873,control
-2.692081254666864,-1.6144967042569465,control
-2.4838296269360294,-1.7686150146594328,control
-2.840811658894649,-1.6978599188188062,control
-2.559718964634765,-0.9284334728641257,control
-2.4298729557015886,-1.79806693834814,control
-2.4359768316638966,-1.5352464458156647,control
-2.504690967467671,-1.537016275401489,control
-2.5304394153598344,-1.6272387525972818,control
-2.533498267408755,-1.1108342049867221,control
-2.6533687510699755,-1.3440428867266312,control
-2.2999432858378355,-0.4865706801051631,control
-2.337123759973664,-1.0250769326904383,control
-1.9978697127632377,-0.6241951278653103,control
-2.54578869375992,-0.99856595731333,control
-2.5456111156785703,-1.4212882316012572,control
-2.374639223899583,-0.721329504133211,control
-2.495112783604796,-0.8526001813560629,control
-2.5246659632549564,-1.346053859431985,control
-2.4076983462795942,-0.852802986597659,control
-2.4367609767277862,-1.1431610384571402,control
-2.289180277254018,-0.8535745599716903,control
-2.2203597603893908,-1.0433424230801225,control
-2.2208738107752684,-0.7408115931176295,control
-2.2955988021097564,-0.8864825650166113,control
-2.363866647950202,-1.0643944804284984,control
-2.0684732941832658,-0.6602944696923047,control
-2.80761769985134,-1.5462977158881321,control
-2.4243337418986766,-0.7064734665819806,control
-3.2849539359108224,-1.6518324537888875,control
-2.8445743477015495,-1.494810780227025,control
-2.2942904743705337,-0.9791282174882353,control
-2.1235673852567873,-1.155484417847108,control
-2.1312434310467574,-1.2244238218292667,control
-1.7744805937638413,-0.7989271069474879,control
-2.8047639441023597,-1.4922966015883163,control
-3.203840523885893,-1.774306425640762,control
-2.8506897131956594,-1.9717219958465173,control
-2.515703807823966,-1.0212385847948322,control
-3.0893026685711598,-1.0917620939559982,control
-2.4028534198701004,-1.3018048895939371,control
-2.211702714518463,-1.22407440340163,control
-2.844181736738636,-2.012152073592456,control
-2.9049580214875,-0.9754909125663492,control
-2.3048339961523743,-1.0803391057217224,control
-2.1860839588735255,-1.014542696520767,control
-4.085085367870441,-1.8884262976367068,control
-2.620442255491747,-1.566026979579957,control
-2.279039955062293,-0.9891404430616685,control
-2.321832076699129,-1.1105817031538134,control
-2.588192763840971,-1.203089146605279,control
-2.39689143727056,-1.2142287391963589,control
-2.9689173213471096,-1.863166288040795,control
-2.513116337027954,-0.9758909340606461,control
-2.3010495469426173,-0.9871776066280133,control
-2.4883963828780824,-1.079382371626302,control
-2.6055790566386365,-1.4174229678814378,control
-2.1208188805698978,-0.7979097710993345,control
-2.1260397401396824,-0.8718980738922,control
-2.3639708440473055,-1.7492880314001968,control
-2.206990636921456,-1.046375449008828,control
-2.440889751147381,-1.2020583974695436,control
-2.0544836264171873,-0.635177403216693,control
-2.4723340308212447,-1.500199818072598,control
-2.0472728380727236,-0.8723241535985058,control
-2.823954097738266,-1.9492138312752125,control
-3.075073435309186,-1.9649276941327065,control
-2.3742832829336074,-1.3877576042950241,control
-2.707230689736662,-1.1659346731002698,control
-2.3821641718340456,-1.0772080052020803,control
-2.0576812637561575,-0.845619263766672,control
-3.020899099489285,-1.9572200044546735,control
-2.2337868961024787,-0.8891525602806131,control
-2.8188441931274024,-1.8682663402882504,control
-2.351835930596987,-0.701500531606286,control
-2.2584590798246977,-0.8495381106342678,control
-2.2164548761536964,-1.0319904897162648,control
-2.844289914823402,-1.0883404537879673,control
-2.377962165723002,-0.7281797799080634,control
-2.2589689100281967,-0.897732113038391,control
-2.050094657587071,-0.9344131711083707,control
-2.4513141595945203,-1.3309709266545515,control
-2.0987986929827263,-0.9012422137970609,control
-2.440249306875576,-1.2755686031841673,control
-2.1206659679248103,-0.7907518438589752,control
-3.624952875885547,-1.8048377663435489,control
-2.737031369401691,-1.0122342274258327,control
-2.293696495235065,-0.7794826668409784,control
-2.6924454975256915,-1.6655705943270962,control
-2.7538911053827833,-1.8236034733967765,control
-2.7149503496777614,-1.6667214891794842,control
-2.912890657105737,-1.4000941150897994,control
-2.3053780144487925,-1.1697665978516678,control
-2.313291348043266,-1.3500204572801742,control
-2.1014038514638793,-1.323190661550515,control
-2.6819142180125963,-1.1395827287619973,control
-1.896155865006775,-0.84793445537729,control
-2.1265795908612857,-0.8315742448841453,control
-2.4281922051846077,-1.3970639995324523,control
-2.789175281847785,-1.3853009275467225,control
-2.149342321364192,-1.296968998671517,control
-2.26085835690614,-0.806817151449917,control
-3.1422541775823714,-2.01128275263186,control
-2.422720963152383,-0.8668878962023839,control
-2.12168093477108,-1.0260850011903015,control
-2.372608011483274,-1.1996120153337588,control
-2.2177710978899996,-1.0036459222375222,control
-2.2968093244994052,-1.7502291238774597,control
-2.409676046247363,-1.5194514925381593,control
-2.38569826275242,-1.1367387837128953,control
-2.2619611371751653,-0.993719934090995,control
-2.2754648278657337,-0.8662630348988346,control
-2.458334944075335,-1.2430658683959055,control
-2.6738662942610416,-1.2262904577060278,control
-2.317317914737794,-0.7011192638625122,control
-2.173570099532858,-1.1510959167335229,control
-1.9862606053740561,-1.201661893073272,control
-2.4651966940211887,-1.2664185337865157,control
-2.4369420523872627,-1.0035724134263777,control
-2.1192658454751463,-0.9974553084984066,control
-2.371698405453804,-1.425179204240142,control
-2.4033676237748707,-1.181804585107815,control
-2.8809940335034203,-1.3215799864978692,control
-2.4373461002946852,-1.1826068712340847,control
-2.2642132566149007,-0.8841895762417616,control
-2.268688712433477,-0.8909693384763742,control
-2.144978131410933,-0.9247893647166107,control
-2.012977188470062,-1.647311312834902,control
-2.699749224862795,-1.2870827227100035,control
-2.9562536783774647,-1.6046481056255537,control
-2.4111547835147604,-0.9923435171883896,control
-2.186687877030248,-1.0604065708445303,control
-2.5646103785841703,-1.5087774172862713,control
-2.4094682737799853,-1.1765439756462037,control
-2.6447978941181334,-1.7110831272185376,control
-2.1670803372130556,-1.241251673493385,control
-2.500512842778845,-1.3579614880224684,control
-2.771718216805445,-0.6073308387912774,control
-2.8851170913958506,-1.782753089224446,control
-2.8836004209318937,-1.3225338442163257,control
-3.159162709394306,-3.051012819575553,control
-2.0238934167773306,-1.0410433219936568,control
-2.018941265859593,-0.8787566704980301,control
-2.791244678367973,-1.4305807736192684,control
-2.2469671264321174,-0.9756783232528058,control
-2.1406459483909037,-1.0113422984858995,control
-2.1324700359931503,-0.8952915484329105,control
-3.701383821365619,-2.674788786956905,control
-2.592212102476499,-1.4168374857720987,control
-2.0430042338752594,-0.9898889936024067,control
-2.512529909704973,-1.3036305759719566,control
-2.243694049408178,-1.1068679461854316,control
-2.588820588115743,-1.4710282376486543,control
-2.145009850836733,-0.6358865075284411,control
-3.000733258550354,-1.1348898392570363,control
-3.5363548167163836,-1.6584311637240021,control
-2.413321295411921,-0.9655995006673294,control
-2.1906487857432246,-0.9490687103604017,control
-2.4884271193276954,-1.2035470966454316,control
-2.8534186521049505,-2.17475908026642,control
-2.2500207722028955,-0.9833595807797738,control
-3.4645053364642493,-2.0219922636255463,control
-2.719603842745061,-0.9728608694595942,control
-2.162004924163393,-1.1205393967331678,control
-2.1326856991924217,-1.0320232985453,control
-1.994541910410223,-1.2533419876190979,control
-2.6066783025213236,-1.5228396649215339,control
-2.452309507445,-1.404648744483081,control
-2.527519273527992,-0.9096837335477438,control
-2.134826555741996,-0.891122968036091,control
-2.441271745742339,-0.9987252860586656,control
-2.079636004918132,-0.8407647238703876,control
-2.5871285405688833,-2.050539514068147,control
-2.2959390556701256,-0.8529724176755173,control
-2.663322689082557,-1.5898308439910822,control
-2.3123332316438168,-0.6254391838973866,control
-2.9071103652540944,-1.770142532962077,control
-2.2518976582272607,-1.134679711020059,control
-1.9872437732793058,-1.0676241251900545,control
-2.659988644987022,-1.723053652420349,control
-2.4799432941350017,-2.5532400641996316,control
-2.146139778116383,-1.114836264002339,control
-2.526516851741564,-0.8302405785011538,control
-2.2806546165646746,-1.495622693707705,control
-3.162442418003018,0.06224424926850553,control
-3.1591884779400026,-0.8285028840199843,control
-3.2930788259843387,-0.7537518489389339,control
-3.0236462154305777,0.1445606950988664,control
-2.9809446914062088,0.4137319125971865,control
-2.9463660794441053,-0.7227335739744631,control
-2.584096313370468,-0.4896402945628484,control
-2.327876708894826,-0.21433107488806713,control
-2.43865077643427,-0.16854872031982424,control
-3.254152051206373,-0.05847965496316062,control
-3.484133963131926,-0.6977630274477719,control
-2.7646172021834183,-0.5697149859572306,control
-2.8277627627622053,-1.5945067713330408,control
-2.438800448652615,-0.17132241129456713,control
-2.3004767642177604,-0.29323200272267635,control
-2.7447398256997673,0.7489446519599715,control
-2.416998727097939,-0.36815501115258575,control
-2.8184025990835884,-0.19769508441305647,control
-2.410305037667592,-0.10259298795073443,control
-2.6750808515075457,0.021557072961468467,control
-3.00829812626515,-0.23891043014276722,control
-2.7742233222522534,-0.20996228041090825,control
-2.454165648424722,-0.3067372542425666,control
-2.764941312823162,-0.852470507477126,control
-2.915247388508894,0.04482206394430557,control
-2.741017650444465,0.11771414566621557,control
-2.704322597619526,0.11324559502032126,control
-2.666869627064178,0.4893071690468058,control
-3.336332107294737,-0.9222882913127513,control
-2.7886133944252256,-0.40813601561379065,control
-2.7247091931004026,-0.4157252465277386,control
-2.823953837902434,0.04511614014301317,control
-2.526556494263586,-0.3591780142462503,control
-2.171237926411795,0.11531172238963064,control
-2.807418902250518,0.16119622947458254,control
-2.7416234297194406,0.5729984245215088,control
-2.892247281001342,0.6587697692107625,control
-2.841322973644076,0.17285813697700386,control
-2.354118383517781,-0.1656769110438351,control
-2.331010768172561,-0.18499914781972682,control
-3.280630481853682,-0.26821792175760206,control
-2.1771111176934976,-0.2237049951598023,control
-2.6685083919057813,-0.14995456573810736,control
-2.42970049667064,-0.29209201979404514,control
-2.8681063262663065,-0.27730425353744703,control
-2.565763668483675,0.5777157535444245,control
-2.8542752934297146,0.8349569289616293,control
-2.581563954425286,0.510841996417517,control
-2.778190556862493,-0.01409065212608003,control
-2.7743133809694824,-0.015957125772631666,control
-2.614752863279423,-0.4334470037659399,control
-2.8450660610200247,-0.5226201063871746,control
-2.5674502976870692,0.18034843286383045,control
-2.493282053238031,0.48408607679423316,control
-2.8587240432829044,0.3503467903879621,control
-2.3953739683402313,0.36533130285948784,control
-2.51564923998307,-0.16198932262862897,control
-2.5351438704848133,-0.43454448942757073,control
-2.465676869953697,-0.13813626457151906,control
-2.552491306027765,-0.38240300207340566,control
-2.444191358925781,-0.17553340692615133,control
-2.697802681365662,0.7173478039099375,control
-2.847437917343203,0.8919817411823131,control
-2.5302647179514883,0.05460145345162773,control
-2.4491862506298236,0.2840488349041398,control
-2.918665196907997,0.14844193985040469,control
-3.6303176645784423,-0.5131152943049627,control
-2.418353091055098,-0.1780012887694254,control
-2.7149254557311306,-0.6532847716532866,control
-2.3760513557335345,-0.9490031705128221,control
-2.519617460831291,-1.0371052977723243,control
-3.790550040038936,-3.0259633738490015,control
-3.390330764267462,-0.9591018501607992,control
-2.926736357903692,0.6939403119467809,control
-2.950713895501679,0.14331633699986843,control
-2.635303952746722,-0.33153126627705615,control
-2.2442106667110853,-0.715581315986537,control
-3.3165304764642562,-0.21308344695762055,control
-2.4059191610083186,-0.19217142315937888,control
-4.744950109274681,-4.363237207710627,control
-3.4808915233527453,-2.9571670207050125,control
-2.4711019230048117,-1.0438498602428383,control
-2.405679775416035,-0.4891296935888832,control
-2.665714485801179,-0.10795537402228372,control
-3.2093932855608838,-0.08440841012905648,control
-2.8078713453245077,-0.31402028409461347,control
-4.0865683830572035,-3.873539912756529,control
-2.499570441945446,-1.0482049082587408,control
-2.623694726996492,0.08618921551632727,control
-2.7787500729360457,0.6448746293235189,control
-2.448421006603881,0.2151081422073872,control
-2.596022703961528,0.08414990194664793,control
-2.698017256589886,-0.955753750061067,control
-2.42457503805024,-0.08809525306257789,control
-2.814148319477688,-0.19566719965729576,control
-2.6776522359275123,0.14063257781226535,control
-2.8467466737373215,0.286718031277106,control
-2.483901838605228,-0.4288696698049251,control
-2.359506681583011,-0.0489028958007396,control
-2.7992559053394603,0.570390263614508,control
-2.7291283156852453,0.32172032867576955,control
-3.0954379200796933,-0.27000730319161376,control
-2.0992840623541014,-0.798147462417469,control
-3.0599760003068615,-0.7812200207755525,control
-2.92930931157911,-0.4491116335618883,control
-2.7412791669123764,-0.5893605415556179,control
-2.7600950080530415,-0.5486937294137737,control
-3.1187726470706822,0.05895059375966739,control
-2.608109452149753,0.32814616608785524,control
-2.8263041884417324,-0.07901081879737797,control
-3.199409176312571,-1.4458537717832531,control
-3.2147729375132403,-0.6268508488617928,control
-2.887759455420798,-0.1669711672498025,control
-2.4725301372977158,-0.12820823560006422,control
-2.451318335025304,-0.7319280207274593,control
-2.1788050510300945,-0.2631139389038518,control
-3.243131954961551,-0.16404362661354988,control
-2.563303304837531,0.1481886977517377,control
-2.7076132839983944,0.222658600896635,control
-2.5645397656052618,-0.054497250172936385,control
-2.7752487955290652,-0.33932783408561207,control
-2.363927098719331,-0.004100495243825634,control
-2.536035903422482,0.18775091472612918,control
-2.2245923109150194,-0.21480634842928498,control
-2.444411707130994,-0.8889874753645578,control
-2.95285713620089,0.10075345087384273,control
-2.6586401211382595,-0.011267203739068588,control
-2.767974472177092,-0.0033120674776976025,control
-2.539066298561217,-0.11479621634028239,control
